"doc_id","actual","R01","R02","R03","R04","R05","R06","R07","R08"
"Q366","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q375","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q3887","neuroticism","extraversion","extraversion","extraversion","extraversion","extraversion","agreeableness","extraversion","extraversion"
"Q390","openness","openness","openness","openness","openness","extraversion","conscientiousness","openness","openness"
"Q398","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism"
"Q414","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion"
"Q4192","extraversion","agreeableness","agreeableness","extraversion","extraversion","agreeableness","agreeableness","agreeableness","extraversion"
"Q4400","openness","openness","openness","openness","openness","openness","conscientiousness","openness","openness"
"Q4415","openness","openness","openness","openness","openness","openness","openness","openness","openness"
"Q4422","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness"
"Q4429","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism"
"Q4446","extraversion","agreeableness","agreeableness","agreeableness","extraversion","conscientiousness","extraversion","agreeableness","extraversion"
"Q4448","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q4449","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism"
"Q4453","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","neuroticism","conscientiousness"
"Q4455","openness","openness","openness","openness","openness","openness","openness","openness","openness"
"Q4756","neuroticism","neuroticism","extraversion","extraversion","extraversion","neuroticism","extraversion","agreeableness","neuroticism"
"Q4761","neuroticism","openness","conscientiousness","extraversion","extraversion","conscientiousness","openness","extraversion","openness"
"Q4763","neuroticism","openness","openness","extraversion","extraversion","openness","openness","extraversion","openness"
"Q4811","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","neuroticism","extraversion"
"Q4828","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion"
"Q4830","extraversion","neuroticism","neuroticism","neuroticism","agreeableness","extraversion","neuroticism","extraversion","extraversion"
"Q4842","agreeableness","neuroticism","agreeableness","neuroticism","neuroticism","agreeableness","extraversion","agreeableness","agreeableness"
"Q4904","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q4910","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q4950","openness","agreeableness","conscientiousness","openness","conscientiousness","openness","neuroticism","openness","openness"
"Q4951","openness","agreeableness","agreeableness","agreeableness","neuroticism","agreeableness","neuroticism","agreeableness","agreeableness"
"Q5614","openness","openness","openness","openness","openness","extraversion","conscientiousness","openness","openness"
"Q5617","openness","openness","openness","openness","openness","openness","openness","openness","openness"
"Q5622","conscientiousness","neuroticism","neuroticism","conscientiousness","conscientiousness","conscientiousness","openness","conscientiousness","conscientiousness"
"Q5641","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion"
"Q5643","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q5645","openness","openness","openness","openness","openness","openness","conscientiousness","openness","openness"
"Q5986","conscientiousness","neuroticism","neuroticism","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q6008","agreeableness","conscientiousness","neuroticism","agreeableness","agreeableness","conscientiousness","openness","agreeableness","agreeableness"
"Q6009","openness","openness","openness","openness","openness","openness","openness","openness","openness"
"Q6018","extraversion","neuroticism","neuroticism","neuroticism","agreeableness","agreeableness","neuroticism","extraversion","neuroticism"
"Q6025","agreeableness","agreeableness","neuroticism","agreeableness","agreeableness","agreeableness","agreeableness","extraversion","agreeableness"
"Q6033","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness"
"Q6040","extraversion","neuroticism","conscientiousness","neuroticism","extraversion","conscientiousness","openness","neuroticism","openness"
"Q6043","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion","extraversion"
"Q6045","openness","openness","conscientiousness","openness","openness","conscientiousness","conscientiousness","openness","openness"
"Q6046","openness","openness","openness","neuroticism","openness","openness","openness","openness","openness"
"Q612","extraversion","agreeableness","agreeableness","extraversion","extraversion","agreeableness","agreeableness","agreeableness","agreeableness"
"Q625","openness","openness","openness","openness","openness","openness","openness","openness","openness"
"Q6333","openness","openness","openness","openness","openness","openness","openness","openness","openness"
"Q6382","agreeableness","openness","openness","extraversion","agreeableness","agreeableness","agreeableness","agreeableness","extraversion"
"Q652","agreeableness","agreeableness","openness","agreeableness","agreeableness","agreeableness","conscientiousness","agreeableness","agreeableness"
"Q702","neuroticism","agreeableness","agreeableness","agreeableness","agreeableness","agreeableness","neuroticism","neuroticism","agreeableness"
"Q780","extraversion","conscientiousness","openness","conscientiousness","agreeableness","agreeableness","conscientiousness","extraversion","openness"
"Q908","agreeableness","agreeableness","openness","neuroticism","agreeableness","extraversion","neuroticism","neuroticism","neuroticism"
"Q922","agreeableness","conscientiousness","neuroticism","agreeableness","agreeableness","agreeableness","neuroticism","agreeableness","agreeableness"
"Q956","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness","conscientiousness"
"Q980","conscientiousness","conscientiousness","extraversion","conscientiousness","neuroticism","conscientiousness","neuroticism","openness","conscientiousness"
"Q986","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism"
"Q991","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism","neuroticism"
