guid,source_id,doc_id,scale,raw_text,text,text_lemmatized,lexical,structural,other,label,big_5_mapped_label
iactasifsomelawsdonotapplytome,IPIP,Q5825,CAT-PD,I act as if some laws do not apply to me.,i act as if some laws do not apply to me,i act as if some law do not apply to me,0,0,0,other_item,conscientiousness
iactattheexpenseofothers,IPIP,Q3155,AB5C,I act at the expense of others.,i act at the expense of others,i act at the expense of other,1,1,1,big5_item,agreeableness
iactbeforethinkingthroughtheconsequences,IPIP,Q2547,VIA,I act before thinking through the consequences.,i act before thinking through the consequences,i act before think through the consequence,0,0,1,other_item,conscientiousness
iactcomfortablywithothers,IPIP,Q3156,AB5C,I act comfortably with others.,i act comfortably with others,i act comfortably with other,1,1,1,big5_item,extraversion
iactcontrarytoreason,IPIP,Q1723,IPIP,I act contrary to reason.,i act contrary to reason,i act contrary to reason,0,0,0,other_item,neuroticism
iactimpulsivelywhensomethingisbotheringme,IPIP,Q4912,HEXACO,I act impulsively when something is bothering me.,i act impulsively when something is bothering me,i act impulsively when something be bother me,0,0,1,big5_item,conscientiousness
iactlikedifferentpeopleindifferentsituations,IPIP,Q5978,HEXACO,I act like different people in different situations.,i act like different people in different situations,i act like different people in different situation,0,0,1,big5_item,agreeableness
iactlikepeopleolderthanme,IPIP,Q2264,IPIP,I act like people older than me.,i act like people older than me,i act like people old than me,0,0,0,other_item,agreeableness
iactlikepeopleyoungerthanme,IPIP,Q2198,IPIP,I act like people younger than me.,i act like people younger than me,i act like people young than me,0,0,0,other_item,openness
iactorfeelinawaythatdoesnotfitme,IPIP,Q3968,PEA,I act or feel in a way that does not fit me.,i act or feel in a way that does not fit me,i act or feel in a way that do not fit me,0,0,0,other_item,neuroticism
iactoutmyfrustrationsonothers,IPIP,Q1883,IPIP,I act out my frustrations on others.,i act out my frustrations on others,i act out my frustration on other,0,0,0,other_item,neuroticism
iactproperlyinmostsituations,IPIP,Q2285,IPIP,I act properly in most situations.,i act properly in most situations,i act properly in most situation,0,0,0,other_item,conscientiousness
iactquicklywithoutthinking,IPIP,Q4165,6FPQ,I act quickly without thinking.,i act quickly without thinking,i act quickly without think,0,0,1,big5_item,conscientiousness
iactspontaneouslywithoutthinkingabouttheconsequences,IPIP,Q1319,IPIP,I act spontaneously without thinking about the consequences.,i act spontaneously without thinking about the consequences,i act spontaneously without think about the consequence,0,0,0,other_item,conscientiousness
iactwildandcrazy,IPIP,Q5586,7FACTOR,I act wild and crazy.,i act wild and crazy,i act wild and crazy,1,1,1,big5_item,extraversion
iactwithhesitation,IPIP,Q1654,IPIP,I act with hesitation.,i act with hesitation,i act with hesitation,0,0,0,other_item,extraversion
iactwithoutconsultingothers,IPIP,Q4167,6FPQ,I act without consulting others.,i act without consulting others,i act without consult other,0,0,1,big5_item,agreeableness
iactwithoutplanning,IPIP,Q4168,6FPQ,I act without planning.,i act without planning,i act without plan,0,0,1,big5_item,conscientiousness
iactwithoutthinking,IPIP,Q980,NEO-PI-R,I act without thinking.,i act without thinking,i act without think,0,1,1,big5_item,conscientiousness
iactwithoutulteriormotives,IPIP,Q1754,IPIP,I act without ulterior motives.,i act without ulterior motives,i act without ulterior motive,0,0,0,other_item,agreeableness
iactuallygetcoldwhenithinkofsomethingcold,IPIP,Q1340,IPIP,I actually get cold when I think of something cold.,i actually get cold when i think of something cold,i actually get cold when i think of something cold,0,0,0,other_item,neuroticism
iadapteasilytonewsituations,IPIP,Q3158,AB5C,I adapt easily to new situations.,i adapt easily to new situations,i adapt easily to new situation,1,1,1,big5_item,neuroticism
iadjusteasily,IPIP,Q4856,HEXACO,I adjust easily.,i adjust easily,i adjust easily,0,0,1,big5_item,agreeableness
iadmireareallycleverscam,IPIP,Q3894,HEXACO,I admire a really clever scam.,i admire a really clever scam,i admire a really clever scam,0,0,1,big5_item,agreeableness
iadmirepeoplewhoownexpensivehomescarsorclothes,IPIP,Q1943,IPIP,I admire people who own expensive homes cars or clothes.,i admire people who own expensive homes cars or clothes,i admire people who own expensive home car or clothes,0,0,0,other_item,openness
iadmitmistakes,IPIP,Q1751,IPIP,I admit mistakes.,i admit mistakes,i admit mistake,0,0,0,other_item,agreeableness
iadmitwheniamwrong,IPIP,Q2540,VIA,I admit when I am wrong.,i admit when i am wrong,i admit when i be wrong,0,0,1,other_item,agreeableness
iagreetoanything,IPIP,Q73,TCI,I agree to anything.,i agree to anything,i agree to anything,0,0,1,other_item,neuroticism
iallowotherstomakeafreshstart,IPIP,Q2483,VIA,I allow others to make a fresh start.,i allow others to make a fresh start,i allow other to make a fresh start,0,0,1,other_item,agreeableness
iallowotherstowalkalloverme,IPIP,Q5826,CAT-PD,I allow others to walk all over me.,i allow others to walk all over me,i allow other to walk all over me,0,0,0,other_item,agreeableness
ialwaysadmititwhenimakeamistake,IPIP,Q6073,MPQ,I always admit it when I make a mistake.,i always admit it when i make a mistake,i always admit it when i make a mistake,0,0,1,other_item,conscientiousness
ialwaysknowwhatiamdoing,IPIP,Q1026,BFAS,I always know what I am doing.,i always know what i am doing,i always know what i be do,1,1,1,big5_item,conscientiousness
ialwaysknowwhyidothings,IPIP,Q6077,MPQ,I always know why I do things.,i always know why i do things,i always know why i do thing,0,0,1,other_item,conscientiousness
ialwaysneedtoknowwhomypartneriswith,IPIP,Q5827,CAT-PD,I always need to know who my partner is with.,i always need to know who my partner is with,i always need to know who my partner be with,0,0,0,other_item,neuroticism
ialwaysseemtobelosingthings,IPIP,Q5828,CAT-PD,I always seem to be losing things.,i always seem to be losing things,i always seem to be lose thing,0,0,0,other_item,conscientiousness
iamabadloser,IPIP,Q4170,6FPQ,I am a bad loser.,i am a bad loser,i be a bad loser,0,0,1,big5_item,neuroticism
iamabitterperson,IPIP,Q5829,CAT-PD,I am a bitter person.,i am a bitter person,i be a bitter person,0,0,0,other_item,neuroticism
iamabraveperson,IPIP,Q2696,VIA,I am a brave person.,i am a brave person,i be a brave person,0,0,1,other_item,extraversion
iamabully,IPIP,Q5830,CAT-PD,I am a bully.,i am a bully,i be a bully,0,0,0,other_item,agreeableness
iamabundleofjoy,OpenPsychometrics,Q5161,MEIS,I am a bundle of joy.,i am a bundle of joy,i be a bundle of joy,0,0,0,big5_item,extraversion
iamachronicliar,IPIP,Q5831,CAT-PD,I am a chronic liar.,i am a chronic liar,i be a chronic liar,0,0,0,other_item,conscientiousness
iamacoldheartedperson,IPIP,Q5665,CAT-PD,I am a cold-hearted person.,i am a cold-hearted person,i be a cold heart person,0,0,0,other_item,agreeableness
iamacorruptperson,IPIP,Q5832,CAT-PD,I am a corrupt person.,i am a corrupt person,i be a corrupt person,0,0,0,other_item,conscientiousness
iamacrankyperson,IPIP,Q5833,CAT-PD,I am a cranky person.,i am a cranky person,i be a cranky person,0,0,0,other_item,neuroticism
iamacreatureofhabit,IPIP,Q1746,AB5C,I am a creature of habit.,i am a creature of habit,i be a creature of habit,1,1,1,big5_item,openness
iamadomineeringperson,IPIP,Q5834,CAT-PD,I am a domineering person.,i am a domineering person,i be a domineer person,0,0,0,other_item,agreeableness
iamafirmbelieverinthinkingthingsthrough,IPIP,Q5363,VIA,I am a firm believer in thinking things through.,i am a firm believer in thinking things through,i be a firm believer in think thing through,0,0,1,other_item,conscientiousness
iamaflamboyantperson,OpenPsychometrics,Q5154,MEIS,I am a flamboyant person.,i am a flamboyant person,i be a flamboyant person,0,0,0,big5_item,extraversion
iamagenerallyobedientperson,IPIP,Q5835,CAT-PD,I am a generally obedient person.,i am a generally obedient person,i be a generally obedient person,0,0,0,other_item,conscientiousness
iamaglassishalfemptykindofperson,IPIP,Q5836,CAT-PD,I am a glass is half empty kind of person.,i am a glass is half empty kind of person,i be a glass be half empty kind of person,0,0,0,other_item,neuroticism
iamagoalorientedperson,IPIP,Q2439,VIA,I am a goal-oriented person.,i am a goal-oriented person,i be a goal oriented person,0,0,1,other_item,conscientiousness
iamagoodjudgeofcharacter,IPIP,Q1576,IPIP,I am a good judge of character.,i am a good judge of character,i be a good judge of character,0,0,0,other_item,neuroticism
iamagoodlistener,IPIP,Q2762,VIA,I am a good listener.,i am a good listener,i be a good listener,0,0,1,other_item,agreeableness
iamagoodloser,IPIP,Q1838,IPIP,I am a good loser.,i am a good loser,i be a good loser,0,0,0,other_item,agreeableness
iamaguiltyperson,IPIP,Q5837,CAT-PD,I am a guilty person.,i am a guilty person,i be a guilty person,0,0,0,other_item,neuroticism
iamahardworker,IPIP,Q2496,VIA,I am a hard worker.,i am a hard worker,i be a hard worker,0,0,1,other_item,conscientiousness
iamahighlydisciplinedperson,IPIP,Q2765,VIA,I am a highly disciplined person.,i am a highly disciplined person,i be a highly discipline person,0,0,1,other_item,conscientiousness
iamahighstatusperson,OpenPsychometrics,Q5212,MEIS,I am a high-status person.,i am a high-status person,i be a high status person,0,0,0,big5_item,extraversion
iamajealousperson,IPIP,Q5838,CAT-PD,I am a jealous person.,i am a jealous person,i be a jealous person,0,0,0,other_item,neuroticism
iamalargesizedperson,IPIP,Q2271,IPIP,I am a large sized person.,i am a large sized person,i be a large sized person,0,0,0,other_item,neuroticism
iamalawabidingcitizen,IPIP,Q5716,CAT-PD,I am a law-abiding citizen.,i am a law-abiding citizen,i be a law abide citizen,0,0,0,other_item,agreeableness
iamalonelyperson,IPIP,Q5839,CAT-PD,I am a lonely person.,i am a lonely person,i be a lonely person,0,0,0,other_item,extraversion
iamamanipulativeperson,IPIP,Q5840,CAT-PD,I am a manipulative person.,i am a manipulative person,i be a manipulative person,0,0,0,other_item,agreeableness
iamameanspiritedperson,IPIP,Q5841,CAT-PD,I am a mean-spirited person.,i am a mean-spirited person,i be a mean spirited person,0,0,0,other_item,agreeableness
iamamoneygrubber,IPIP,Q1974,IPIP,I am a money grubber.,i am a money grubber,i be a money grubber,0,0,0,other_item,agreeableness
iamanaturallygooddancer,IPIP,Q2209,IPIP,I am a naturally good dancer.,i am a naturally good dancer,i be a naturally good dancer,0,0,0,other_item,extraversion
iamaneatfreak,IPIP,Q5842,CAT-PD,I am a neat freak.,i am a neat freak,i be a neat freak,0,0,0,other_item,conscientiousness
iamaperfectionist,IPIP,Q5843,CAT-PD,I am a perfectionist.,i am a perfectionist,i be a perfectionist,0,0,0,other_item,conscientiousness
iamapersonwhosemoodsgoupanddowneasily,IPIP,Q986,BFAS,I am a person whose moods go up and down easily.,i am a person whose moods go up and down easily,i be a person whose mood go up and down easily,1,1,1,big5_item,neuroticism
iamapessimisticperson,IPIP,Q5844,CAT-PD,I am a pessimistic person.,i am a pessimistic person,i be a pessimistic person,0,0,0,other_item,neuroticism
iamaphysicalcoward,IPIP,Q4756,HEXACO,I am a physical coward.,i am a physical coward,i be a physical coward,0,0,1,big5_item,neuroticism
iamarebel,IPIP,Q5845,CAT-PD,I am a rebel.,i am a rebel,i be a rebel,0,0,0,other_item,conscientiousness
iamasadisticperson,IPIP,Q5846,CAT-PD,I am a sadistic person.,i am a sadistic person,i be a sadistic person,0,0,0,other_item,agreeableness
iamaseductiveperson,IPIP,Q5847,CAT-PD,I am a seductive person.,i am a seductive person,i be a seductive person,0,0,0,other_item,extraversion
iamashyperson,IPIP,Q2412,IPIP,I am a shy person.,i am a shy person,i be a shy person,0,0,0,other_item,extraversion
iamasmallsizedperson,IPIP,Q2320,IPIP,I am a small sized person.,i am a small sized person,i be a small sized person,0,0,0,other_item,conscientiousness
iamaspiritualperson,IPIP,Q2710,VIA,I am a spiritual person.,i am a spiritual person,i be a spiritual person,0,0,1,other_item,agreeableness
iamastrangeperson,IPIP,Q5723,CAT-PD,I am a strange person.,i am a strange person,i be a strange person,0,0,0,other_item,openness
iamasubmissiveperson,IPIP,Q5848,CAT-PD,I am a submissive person.,i am a submissive person,i be a submissive person,0,0,0,other_item,agreeableness
iamatalkativeperson,IPIP,Q1107,EPQ,I am a talkative person.,i am a talkative person,i be a talkative person,0,0,1,other_item,extraversion
iamatruelifelonglearner,IPIP,Q2474,VIA,I am a true lifelong learner.,i am a true lifelong learner,i be a true life long learner,0,0,1,other_item,openness
iamaverygoodscamartist,IPIP,Q5849,CAT-PD,I am a very good scam artist.,i am a very good scam artist,i be a very good scam artist,0,0,0,other_item,conscientiousness
iamaveryprivateperson,IPIP,Q3160,AB5C,I am a very private person.,i am a very private person,i be a very private person,1,1,1,big5_item,extraversion
iamaveryreliableperson,IPIP,Q5704,CAT-PD,I am a very reliable person.,i am a very reliable person,i be a very reliable person,0,0,0,other_item,conscientiousness
iamavindictiveperson,IPIP,Q5850,CAT-PD,I am a vindictive person.,i am a vindictive person,i be a vindictive person,0,0,0,other_item,agreeableness
iamaworkaholicwithlittletimeforfunorpleasure,IPIP,Q2749,CAT-PD,I am a workaholic with little time for fun or pleasure.,i am a workaholic with little time for fun or pleasure,i be a workaholic with little time for fun or pleasure,0,0,0,other_item,conscientiousness
iamaworrier,IPIP,Q399,EPQ,I am a worrier.,i am a worrier,i be a worrier,0,0,1,other_item,neuroticism
iamabletocalmmyselfdownquitequicklywhenupset,IPIP,Q5851,VIA,I am able to calm myself down quite quickly when upset.,i am able to calm myself down quite quickly when upset,i be able to calm myself down quite quickly when upset,0,0,1,other_item,neuroticism
iamabletocomeupwithnewanddifferentideas,IPIP,Q382,VIA,I am able to come up with new and different ideas.,i am able to come up with new and different ideas,i be able to come up with new and different idea,0,0,1,other_item,openness
iamabletocontrolmycravings,IPIP,Q3159,AB5C,I am able to control my cravings.,i am able to control my cravings,i be able to control my craving,1,1,1,big5_item,neuroticism
iamabletocooperatewithothers,IPIP,Q2827,CPI,I am able to cooperate with others.,i am able to cooperate with others,i be able to cooperate with other,0,0,1,other_item,agreeableness
iamabletodescribemyfeelingseasily,IPIP,Q1374,CAT-PD,I am able to describe my feelings easily.,i am able to describe my feelings easily,i be able to describe my feeling easily,0,0,0,other_item,extraversion
iamabletodisregardrules,IPIP,Q1523,IPIP,I am able to disregard rules.,i am able to disregard rules,i be able to disregard rule,0,0,0,other_item,agreeableness
iamabletodomostthingswellenough,IPIP,Q2393,IPIP,I am able to do most things well enough.,i am able to do most things well enough,i be able to do most thing well enough,0,0,0,other_item,conscientiousness
iamabletodowhatishoulddoevenwhenifeelscared,IPIP,Q5852,VIA,I am able to do what I should do even when I feel scared.,i am able to do what i should do even when i feel scared,i be able to do what i should do even when i feel scared,0,0,1,other_item,neuroticism
iamabletofindoutthingsbymyself,IPIP,Q3162,AB5C,I am able to find out things by myself.,i am able to find out things by myself,i be able to find out thing by myself,1,1,1,big5_item,openness
iamabletofitintoanysituation,IPIP,Q2746,VIA,I am able to fit into any situation.,i am able to fit into any situation,i be able to fit into any situation,0,0,1,other_item,extraversion
iamabletofixelectricalwiringproblems,IPIP,Q1985,IPIP,I am able to fix electrical wiring problems.,i am able to fix electrical wiring problems,i be able to fix electrical wiring problem,0,0,0,other_item,agreeableness
iamabletogetotherpeopletoactinacertainway,IPIP,Q5853,VIA,I am able to get other people to act in a certain way.,i am able to get other people to act in a certain way,i be able to get other people to act in a certain way,0,0,1,other_item,agreeableness
iamabletogetoveritquicklywhensomeonehurtsmyfeelings,IPIP,Q5854,VIA,I am able to get over it quickly when someone hurts my feelings.,i am able to get over it quickly when someone hurts my feelings,i be able to get over it quickly when someone hurt my feeling,0,0,1,other_item,neuroticism
iamabletopickmyselfupwheniamdown,IPIP,Q5855,CAT-PD,I am able to pick myself up when I am down.,i am able to pick myself up when i am down,i be able to pick myself up when i be down,0,0,0,other_item,neuroticism
iamabletoreadthemindsofothers,IPIP,Q5763,CAT-PD,I am able to read the minds of others.,i am able to read the minds of others,i be able to read the mind of other,0,0,0,other_item,agreeableness
iamabletoseehowotherpeoplesemotionscanaffecttheirbehaviors,IPIP,Q5856,VIA,I am able to see how other peoples emotions can affect their behaviors.,i am able to see how other peoples emotions can affect their behaviors,i be able to see how other people emotion can affect their behavior,0,0,1,other_item,agreeableness
iamabletoseethebestinasituation,IPIP,Q1835,IPIP,I am able to see the best in a situation.,i am able to see the best in a situation,i be able to see the good in a situation,0,0,0,other_item,neuroticism
iamabletoseethebigpicture,IPIP,Q5857,VIA,I am able to see the big picture.,i am able to see the big picture,i be able to see the big picture,0,0,1,other_item,openness
iamabletostandupformyself,IPIP,Q722,NEO-PI-R,I am able to standup for myself.,i am able to standup for myself,i be able to stand up for myself,0,1,1,big5_item,neuroticism
iamabletounderstandhowotherpeopleseeproblems,IPIP,Q5858,VIA,I am able to understand how other people see problems.,i am able to understand how other people see problems,i be able to understand how other people see problem,0,0,1,other_item,openness
iamabletoworkhardtoachieveresultsthatiwillonlygetatatimefarinthefuture,IPIP,Q5859,VIA,I am able to work hard to achieve results that I will only get at a time far in the future.,i am able to work hard to achieve results that i will only get at a time far in the future,i be able to work hard to achieve result that i will only get at a time far in the future,0,0,1,other_item,conscientiousness
iamabletoworkhardtosolveproblemsevenwhenittakesalongtime,IPIP,Q5860,VIA,I am able to work hard to solve problems even when it takes a long time.,i am able to work hard to solve problems even when it takes a long time,i be able to work hard to solve problem even when it take a long time,0,0,1,other_item,conscientiousness
iamafraidofbeingleftalone,IPIP,Q2485,IPIP,I am afraid of being left alone.,i am afraid of being left alone,i be afraid of be leave alone,0,0,0,other_item,neuroticism
iamafraidofheights,IPIP,Q2353,BSSS,I am afraid of heights.,i am afraid of heights,i be afraid of height,0,0,0,other_item,neuroticism
iamafraidoflargedogs,IPIP,Q2344,BSSS,I am afraid of large dogs.,i am afraid of large dogs,i be afraid of large dog,0,0,0,other_item,openness
iamafraidoflosingcontrolofmyanger,IPIP,Q2675,IPIP,I am afraid of losing control of my anger.,i am afraid of losing control of my anger,i be afraid of lose control of my anger,0,0,0,other_item,neuroticism
iamafraidofmanythings,IPIP,Q998,BFAS,I am afraid of many things.,i am afraid of many things,i be afraid of many thing,1,1,1,big5_item,neuroticism
iamafraidofmorethingsthanothersare,IPIP,Q2414,IPIP,I am afraid of more things than others are.,i am afraid of more things than others are,i be afraid of more thing than other be,0,0,0,other_item,neuroticism
iamafraidthatiwilldothewrongthing,IPIP,Q714,NEO-PI-R,I am afraid that I will do the wrong thing.,i am afraid that i will do the wrong thing,i be afraid that i will do the wrong thing,0,1,1,big5_item,neuroticism
iamafraidthatmylifewillbecutshortbyillness,IPIP,Q1458,CAT-PD,I am afraid that my life will be cut short by illness.,i am afraid that my life will be cut short by illness,i be afraid that my life will be cut short by illness,0,0,0,other_item,neuroticism
iamafraidtodrawattentiontomyself,IPIP,Q3163,AB5C,I am afraid to draw attention to myself.,i am afraid to draw attention to myself,i be afraid to draw attention to myself,1,1,1,big5_item,extraversion
iamafraidtoreachoutforlove,IPIP,Q2443,IPIP,I am afraid to reach out for love.,i am afraid to reach out for love,i be afraid to reach out for love,0,0,0,other_item,openness
iamalwaysawareofhowiampresentingmyself,IPIP,Q2013,IPIP,I am always aware of how I am presenting myself.,i am always aware of how i am presenting myself,i be always aware of how i be present myself,0,0,0,other_item,conscientiousness
iamalwaysbusywithsomethinginteresting,IPIP,Q2731,VIA,I am always busy with something interesting.,i am always busy with something interesting,i be always busy with something interesting,0,0,1,other_item,conscientiousness
iamalwaysbusy,IPIP,Q3164,AB5C,I am always busy.,i am always busy,i be always busy,1,1,1,big5_item,extraversion
iamalwaysinthemoment,OpenPsychometrics,Q5193,MEIS,I am always in the moment.,i am always in the moment,i be always in the moment,0,0,0,big5_item,extraversion
iamalwaysinthesamemood,IPIP,Q3161,AB5C,I am always in the same mood.,i am always in the same mood,i be always in the same mood,1,1,1,big5_item,neuroticism
iamalwaysjoking,IPIP,Q2221,IPIP,I am always joking.,i am always joking,i be always joke,0,0,0,other_item,extraversion
iamalwayslookingforarushofexcitement,IPIP,Q5861,CAT-PD,I am always looking for a rush of excitement.,i am always looking for a rush of excitement,i be always look for a rush of excitement,0,0,0,other_item,extraversion
iamalwaysonthego,IPIP,Q774,NEO-PI-R,I am always on the go.,i am always on the go,i be always on the go,0,1,1,big5_item,extraversion
iamalwaysontime,IPIP,Q2817,IPIP,I am always on time.,i am always on time,i be always on time,0,0,0,other_item,conscientiousness
iamalwaysprepared,IPIP,Q3166,AB5C,I am always prepared.,i am always prepared,i be always prepare,1,1,1,big5_item,conscientiousness
iamalwaysreadytostartafresh,IPIP,Q1824,MPQ,I am always ready to start afresh.,i am always ready to start afresh,i be always ready to start afresh,0,0,1,other_item,extraversion
iamalwaysworriedaboutsomething,IPIP,Q1563,BIS-BAS,I am always worried about something.,i am always worried about something,i be always worry about something,0,0,1,other_item,neuroticism
iamalwaysworriedthatmypartnerisgoingtoleaveme,IPIP,Q5729,CAT-PD,I am always worried that my partner is going to leave me.,i am always worried that my partner is going to leave me,i be always worry that my partner be go to leave me,0,0,0,other_item,neuroticism
iamanenergeticperson,IPIP,Q5655,CAT-PD,I am an energetic person.,i am an energetic person,i be an energetic person,0,0,0,other_item,neuroticism
iamaneternalpessimist,IPIP,Q5862,CAT-PD,I am an eternal pessimist.,i am an eternal pessimist,i be an eternal pessimist,0,0,0,other_item,neuroticism
iamanextraordinaryperson,IPIP,Q2112,QB6,I am an extraordinary person.,i am an extraordinary person,i be an extraordinary person,0,0,0,other_item,openness
iamanextremelygratefulperson,IPIP,Q2511,VIA,I am an extremely grateful person.,i am an extremely grateful person,i be an extremely grateful person,0,0,1,other_item,agreeableness
iamanextremelyloyalperson,IPIP,Q2760,VIA,I am an extremely loyal person.,i am an extremely loyal person,i be an extremely loyal person,0,0,1,other_item,agreeableness
iamanhonestperson,IPIP,Q5707,CAT-PD,I am an honest person.,i am an honest person,i be an honest person,0,0,0,other_item,agreeableness
iamanirritableperson,IPIP,Q1116,EPQ,I am an irritable person.,i am an irritable person,i be an irritable person,0,0,1,other_item,neuroticism
iamanoriginalthinker,IPIP,Q383,VIA,I am an original thinker.,i am an original thinker,i be an original thinker,0,0,1,other_item,openness
iamangryordistressedwhenmypartnerpaysmoreattentiontosomeoneelse,IPIP,Q5863,CAT-PD,I am angry or distressed when my partner pays more attention to someone else.,i am angry or distressed when my partner pays more attention to someone else,i be angry or distress when my partner pay more attention to someone else,0,0,0,other_item,neuroticism
iamannoyedbyothersmistakes,IPIP,Q4174,6FPQ,I am annoyed by others mistakes.,i am annoyed by others mistakes,i be annoy by other mistake,0,0,1,big5_item,agreeableness
iamapprehensiveaboutnewencounters,IPIP,Q3703,HPI,I am apprehensive about new encounters.,i am apprehensive about new encounters,i be apprehensive about new encounter,0,0,1,big5_item,neuroticism
