"guid","source_id","doc_id","scale","raw_text","text","lexical","structural","other","label_type","label","set","other_label_to_big5","facet"
"iameasilytalkedintodoingsillythings","IPIP","Q3181","AB5C","Am easily talked into doing silly things","I am easily talked into doing silly things.",1,1,1,"hard","agreeableness","train","agreeableness","cautiousness"
"iameasytosatisfy","IPIP","Q3182","AB5C","Am easy to satisfy","I am easy to satisfy.",1,1,1,"hard","agreeableness","train","agreeableness","pleasantness"
"iamexactinginmywork","IPIP","Q3183","AB5C","Am exacting in my work","I am exacting in my work.",1,1,1,"hard","conscientiousness","train","conscientiousness","efficiency"
"idonotlosemyhead","IPIP","Q3184","AB5C","Don't lose my head","I do not lose my head.",1,1,1,"hard","neuroticism","train","neuroticism","toughness"
"iamgoodatmanythings","IPIP","Q3186","AB5C","Am good at many things","I am good at many things.",1,1,1,"hard","conscientiousness","train","conscientiousness","ingenuity"
"ieasilyresisttemptations","IPIP","Q3187","AB5C","Easily resist temptations","I easily resist temptations.",1,1,1,"hard","neuroticism","train","neuroticism","moderation"
"iamhardtogettoknow","IPIP","Q3188","AB5C","Am hard to get to know","I am hard to get to know.",1,1,1,"hard","extraversion","train","extraversion","friendliness"
"iamindifferenttothefeelingsofothers","IPIP","Q3190","AB5C","Am indifferent to the feelings of others","I am indifferent to the feelings of others.",1,1,1,"hard","agreeableness","train","agreeableness","understanding"
"iaminterestedinpeople","IPIP","Q3191","AB5C","Am interested in people","I am interested in people.",1,1,1,"hard","agreeableness","train","agreeableness","warmth"
"iamnotafraidofprovidingcriticism","IPIP","Q3193","AB5C","Am not afraid of providing criticism","I am not afraid of providing criticism.",1,1,1,"hard","extraversion","train","extraversion","provocativeness"
"iamnotasstrictasishouldbe","IPIP","Q3194","AB5C","Am not as strict as I should be","I am not as strict as I should be.",1,1,1,"hard","conscientiousness","train","conscientiousness","rationality"
"iamnotbotheredbydisorder","IPIP","Q3195","AB5C","Am not bothered by disorder","I am not bothered by disorder.",1,1,1,"hard","conscientiousness","train","conscientiousness","perfectionism"
"iamnotbotheredbymessypeople","IPIP","Q3196","AB5C","Am not bothered by messy people","I am not bothered by messy people.",1,1,1,"hard","conscientiousness","train","conscientiousness","perfectionism"
"ikeepmycool","IPIP","Q3199","AB5C","Keep my cool","I keep my cool.",1,1,1,"hard","neuroticism","train","neuroticism","stability"
"ikeepmyemotionsundercontrol","IPIP","Q3200","AB5C","Keep my emotions under control","I keep my emotions under control.",1,1,1,"hard","neuroticism","train","neuroticism","impulse-control"
"iamnoteasilydistracted","IPIP","Q3201","AB5C","Am not easily distracted","I am not easily distracted.",1,1,1,"hard","conscientiousness","train","conscientiousness","purposefulness"
"iknowhowtocope","IPIP","Q3202","AB5C","Know how to cope","I know how to cope.",1,1,1,"hard","neuroticism","train","neuroticism","toughness"
"iletothersfinishwhattheyaresaying","IPIP","Q3203","AB5C","Let others finish what they are saying","I let others finish what they are saying.",1,1,1,"hard","neuroticism","train","neuroticism","impulse-control"
"iamnotembarrassedeasily","IPIP","Q3204","AB5C","Am not embarrassed easily","I am not embarrassed easily.",1,1,1,"hard","neuroticism","train","neuroticism","poise"
"iamnotintouchwithmyfeelings","IPIP","Q3206","AB5C","Am not in touch with my feelings","I am not in touch with my feelings.",1,1,1,"hard","agreeableness","test","agreeableness","empathy"
"iamnotinterestedinspeculatingaboutthings","IPIP","Q3209","AB5C","Am not interested in speculating about things","I am not interested in speculating about things.",1,1,1,"hard","openness","train","openness","creativity/originality"
"iamnotinterestedintheoreticaldiscussions","IPIP","Q3210","AB5C","Am not interested in theoretical discussions","I am not interested in theoretical discussions.",1,1,1,"hard","openness","train","openness","creativity/originality"
"iamnotreallyinterestedinothers","IPIP","Q3211","AB5C","Am not really interested in others","I am not really interested in others.",1,1,1,"hard","agreeableness","train","agreeableness","warmth"
"ilookatthebrightsideoflife","IPIP","Q3212","AB5C","Look at the bright side of life","I look at the bright side of life.",1,1,1,"hard","extraversion","train","extraversion","happiness"
"iamoftenlatetowork","IPIP","Q3214","AB5C","Am often late to work","I am often late to work.",1,1,1,"hard","conscientiousness","train","conscientiousness","conscientiousness"
"iamongoodtermswithnearlyeveryone","IPIP","Q3215","AB5C","Am on good terms with nearly everyone","I am on good terms with nearly everyone.",1,1,1,"hard","agreeableness","train","agreeableness","pleasantness"
"iamopenaboutmyselftoothers","IPIP","Q3217","AB5C","Am open about myself to others","I am open about myself to others.",1,1,1,"hard","extraversion","train","extraversion","self-disclosure"
"iamquicktojudgeothers","IPIP","Q3218","AB5C","Am quick to judge others","I am quick to judge others.",1,1,1,"hard","agreeableness","train","agreeableness","pleasantness"
"iamquietaroundstrangers","IPIP","Q3220","AB5C","Am quiet around strangers","I am quiet around strangers.",1,1,1,"hard","extraversion","test","extraversion","gregariousness"
"irarelynoticemyemotionalreactions","IPIP","Q3221","AB5C","Rarely notice my emotional reactions","I rarely notice my emotional reactions.",1,1,1,"hard","openness","train","openness","tranquility"
"irarelyoverindulge","IPIP","Q3222","AB5C","Rarely overindulge","I rarely overindulge.",1,1,1,"hard","neuroticism","train","neuroticism","moderation"
"iremaincalmunderpressure","IPIP","Q3223","AB5C","Remain calm under pressure","I remain calm under pressure.",1,1,1,"hard","neuroticism","train","neuroticism","moderation"
"iamusemyselfeasily","IPIP","Q3226","AB5C","Amuse myself easily","I amuse myself easily.",1,1,1,"hard","extraversion","train","extraversion","sociability"
"ianticipatetheneedsofothers","IPIP","Q3227","AB5C","Anticipate the needs of others","I anticipate the needs of others.",1,1,1,"hard","agreeableness","test","agreeableness","empathy"
"iappreciategoodmanners","IPIP","Q3228","AB5C","Appreciate good manners","I appreciate good manners.",1,1,1,"hard","conscientiousness","train","conscientiousness","dutifulness"
"iappreciatetheviewpointsofothers","IPIP","Q3229","AB5C","Appreciate the viewpoints of others","I appreciate the viewpoints of others.",1,1,1,"hard","agreeableness","train","agreeableness","understanding"
"iaskquestionsthatnobodyelsedoes","IPIP","Q3230","AB5C","Ask questions that nobody else does","I ask questions that nobody else does.",1,1,1,"hard","openness","train","openness","creativity/originality"
"iavoidcontactswithothers","IPIP","Q3232","AB5C","Avoid contacts with others","I avoid contacts with others.",1,1,1,"hard","extraversion","train","extraversion","friendliness"
"iavoidphilosophicaldiscussions","IPIP","Q3234","AB5C","Avoid philosophical discussions","I avoid philosophical discussions.",1,1,1,"hard","openness","train","openness","creativity/originality"
"iseldomgetemotional","IPIP","Q3236","AB5C","Seldom get emotional","I seldom get emotional.",1,1,1,"hard","neuroticism","test","neuroticism","imperturbability"
"ibehaveproperly","IPIP","Q3237","AB5C","Behave properly","I behave properly.",1,1,1,"hard","conscientiousness","train","conscientiousness","dutifulness"
"ibelievecryinghelpsmefeelbetter","IPIP","Q3238","AB5C","Believe that crying helps me feel better","I believe crying helps me feel better.",1,1,1,"hard","agreeableness","train","agreeableness","tenderness"
"ibelieveinaneyeforaneye","IPIP","Q3240","AB5C","Believe in an eye for an eye","I believe in an eye for an eye.",1,1,1,"hard","agreeableness","train","agreeableness","rationality"
"ibelieveintheimportanceofart","IPIP","Q3241","AB5C","Believe in the importance of art","I believe in the importance of art.",1,1,1,"hard","openness","train","openness","imagination"
"ibelieveonlyinmyself","IPIP","Q3242","AB5C","Believe only in myself","I believe only in myself.",1,1,1,"hard","agreeableness","train","agreeableness","nurturance"
"ibelievepeopleshouldfendforthemselves","IPIP","Q3243","AB5C","Believe that people should fend for themselves","I believe people should fend for themselves.",1,1,1,"hard","agreeableness","test","agreeableness","sympathy"
"ibelievethatcriminalsshouldreceivehelpratherthanpunishment","IPIP","Q3244","AB5C","Believe that criminals should receive help rather than punishment","I believe that criminals should receive help rather than punishment.",1,1,1,"hard","openness","train","openness","rationality"
"ibelievethatiambetterthanothers","IPIP","Q3245","AB5C","Believe that I am better than others","I believe that I am better than others.",1,1,1,"hard","agreeableness","train","agreeableness","nurturance"
"iboastaboutmyvirtues","IPIP","Q3247","AB5C","Boast about my virtues","I boast about my virtues.",1,1,1,"hard","agreeableness","train","agreeableness","provocativeness"
"ibottleupmyfeelings","IPIP","Q3248","AB5C","Bottle up my feelings","I bottle up my feelings.",1,1,1,"hard","extraversion","train","extraversion","gregariousness"
"iseldomtakeoffense","IPIP","Q3250","AB5C","Seldom take offense","I seldom take offense.",1,1,1,"hard","neuroticism","test","neuroticism","stability"
"icaneasilylinkfactstogether","IPIP","Q3252","AB5C","Can easily link facts together","I can easily link facts together.",1,1,1,"hard","openness","train","openness","creativity/originality"
"icaneasilypushmyselfforward","IPIP","Q3253","AB5C","Can easily push myself forward","I can easily push myself forward.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"icanhandlecomplexproblems","IPIP","Q3255","AB5C","Can handle complex problems","I can handle complex problems.",1,1,1,"hard","neuroticism","train","neuroticism","quickness"
"itendtofeelthesameeveryday","IPIP","Q3256","AB5C","Tend to feel the same every day","I tend to feel the same every day.",1,1,1,"hard","neuroticism","train","neuroticism","tranquility"
"icantakestrongmeasures","IPIP","Q3257","AB5C","Can take strong measures","I can take strong measures.",1,1,1,"hard","extraversion","train","extraversion","provocativeness"
"icannotbebotheredwithothersneeds","IPIP","Q3258","AB5C","Can't be bothered with other's needs","I cannot be bothered with others needs.",1,1,1,"hard","agreeableness","train","agreeableness","understanding"
"icannotdowithoutthecompanyofothers","IPIP","Q3261","AB5C","Can't do without the company of others","I cannot do without the company of others.",1,1,1,"hard","extraversion","train","extraversion","sociability"
"icannotmakeupmymind","IPIP","Q3262","AB5C","Can't make up my mind","I cannot make up my mind.",1,1,1,"hard","neuroticism","train","neuroticism","purposefulness"
"icannotstandbeingalone","IPIP","Q3263","AB5C","Can't stand being alone","I cannot stand being alone.",1,1,1,"hard","openness","train","openness","introspection/private self-consciousness"
"iamattachedtoconventionalways","IPIP","Q3264","AB5C","Am attached to conventional ways","I am attached to conventional ways.",1,1,1,"hard","openness","train","openness","cool-headedness"
"icannotstandconfrontations","IPIP","Q3265","AB5C","Can't stand confrontations","I cannot stand confrontations.",1,1,1,"hard","agreeableness","train","agreeableness","provocativeness"
"icarryoutmyplans","IPIP","Q3266","AB5C","Carry out my plans","I carry out my plans.",1,1,1,"hard","conscientiousness","train","conscientiousness","purposefulness"
"icatchontothingsquickly","IPIP","Q3268","AB5C","Catch on to things quickly","I catch on to things quickly.",1,1,1,"hard","openness","train","openness","quickness"
"ichallengeotherspointsofview","IPIP","Q3269","AB5C","Challenge others' points of view","I challenge others points of view.",1,1,1,"hard","agreeableness","train","agreeableness","creativity/originality"
"iameasilyconfused","IPIP","Q3270","AB5C","Am easily confused","I am easily confused.",1,1,1,"hard","neuroticism","train","neuroticism","toughness"
"icheckovermywork","IPIP","Q3271","AB5C","Check over my work","I check over my work.",1,1,1,"hard","conscientiousness","test","conscientiousness","dutifulness"
"icherishmementos","IPIP","Q3272","AB5C","Cherish mementos","I cherish mementos.",1,1,1,"hard","agreeableness","train","agreeableness","tenderness"
"icomestraighttothepoint","IPIP","Q3273","AB5C","Come straight to the point","I come straight to the point.",1,1,1,"hard","conscientiousness","train","conscientiousness","rationality"
"icomeupwithasolutionrightaway","IPIP","Q3274","AB5C","Come up with a solution right away","I come up with a solution right away.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"icomeupwithboldplans","IPIP","Q3275","AB5C","Come up with bold plans","I come up with bold plans.",1,1,1,"hard","openness","test","openness","ingenuity"
"icommentloudlyaboutothers","IPIP","Q3276","AB5C","Comment loudly about others","I comment loudly about others.",1,1,1,"hard","agreeableness","train","agreeableness","cooperation"
"icompletetaskssuccessfully","IPIP","Q3277","AB5C","Complete tasks successfully","I complete tasks successfully.",1,1,1,"hard","conscientiousness","train","conscientiousness","organization"
"iconsidermyselfanaverageperson","IPIP","Q3278","AB5C","Consider myself an average person","I consider myself an average person.",1,1,1,"hard","openness","test","openness","creativity/originality"
"icontradictothers","IPIP","Q3280","AB5C","Contradict others","I contradict others.",1,1,1,"hard","agreeableness","train","agreeableness","pleasantness"
"icriticizeothersshortcomings","IPIP","Q3281","AB5C","Criticize others' shortcomings","I criticize others shortcomings.",1,1,1,"hard","agreeableness","train","agreeableness","pleasantness"
"iameasilydisturbed","IPIP","Q3282","AB5C","Am easily disturbed","I am easily disturbed.",1,1,1,"hard","neuroticism","train","neuroticism","stability"
"iameasilyexcited","IPIP","Q3283","AB5C","Am easily excited","I am easily excited.",1,1,1,"hard","neuroticism","train","neuroticism","impulse-control"
"idaretosayanything","IPIP","Q3284","AB5C","Dare to say anything","I dare to say anything.",1,1,1,"hard","extraversion","train","extraversion","provocativeness"
"iameasilyfrightened","IPIP","Q3285","AB5C","Am easily frightened","I am easily frightened.",1,1,1,"hard","neuroticism","train","neuroticism","toughness"
"iameasilyhurt","IPIP","Q3286","AB5C","Am easily hurt","I am easily hurt.",1,1,1,"hard","neuroticism","train","neuroticism","toughness"
"idemandperfectioninothers","IPIP","Q3287","AB5C","Demand perfection in others","I demand perfection in others.",1,1,1,"hard","conscientiousness","train","conscientiousness","perfectionism"
"idemandquality","IPIP","Q3288","AB5C","Demand quality","I demand quality.",1,1,1,"hard","conscientiousness","train","conscientiousness","organization"
"idemandtobethecenterofinterest","IPIP","Q3289","AB5C","Demand to be the center of interest","I demand to be the center of interest.",1,1,1,"hard","extraversion","train","extraversion","talkativeness"
"idetectmistakes","IPIP","Q3290","AB5C","Detect mistakes","I detect mistakes.",1,1,1,"hard","conscientiousness","train","conscientiousness","organization"
"idisclosemyintimatethoughts","IPIP","Q3291","AB5C","Disclose my intimate thoughts","I disclose my intimate thoughts.",1,1,1,"hard","extraversion","test","extraversion","self-disclosure"
"idislikeimperfectwork","IPIP","Q3292","AB5C","Dislike imperfect work","I dislike imperfect work.",1,1,1,"hard","conscientiousness","test","conscientiousness","rationality"
"idislikelearning","IPIP","Q3293","AB5C","Dislike learning","I dislike learning.",1,1,1,"hard","openness","train","openness","intellect"
"iameasilymovedtotears","IPIP","Q3294","AB5C","Am easily moved to tears","I am easily moved to tears.",1,1,1,"hard","agreeableness","train","agreeableness","imperturbability"
"idislikeneighborslivingtooclose","IPIP","Q3295","AB5C","Dislike neighbors living too close","I dislike neighbors living too close.",1,1,1,"hard","extraversion","train","extraversion","sociability"
"idislikeroutine","IPIP","Q3296","AB5C","Dislike routine","I dislike routine.",1,1,1,"hard","conscientiousness","train","conscientiousness","orderliness"
"idisliketalkingaboutmyself","IPIP","Q3297","AB5C","Dislike talking about myself","I dislike talking about myself.",1,1,1,"hard","extraversion","train","extraversion","talkativeness"
"idisregardrules","IPIP","Q3298","AB5C","Disregard rules","I disregard rules.",1,1,1,"hard","conscientiousness","train","conscientiousness","dutifulness"
"idoalotinmysparetime","IPIP","Q3299","AB5C","Do a lot in my spare time","I do a lot in my spare time.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"idodangerousthings","IPIP","Q3301","AB5C","Do dangerous things","I do dangerous things.",1,1,1,"hard","agreeableness","test","agreeableness","cooperation"
"idoimproperthings","IPIP","Q3302","AB5C","Do improper things","I do improper things.",1,1,1,"hard","conscientiousness","train","conscientiousness","dutifulness"
"idomostofthetalking","IPIP","Q3303","AB5C","Do most of the talking","I do most of the talking.",1,1,1,"hard","extraversion","train","extraversion","talkativeness"
"idonotenjoygoingtoartmuseums","IPIP","Q3304","AB5C","Do not enjoy going to art museums","I do not enjoy going to art museums.",1,1,1,"hard","openness","test","openness","imagination"
"idonotenjoywatchingdanceperformances","IPIP","Q3305","AB5C","Do not enjoy watching dance performances","I do not enjoy watching dance performances.",1,1,1,"hard","openness","train","openness","reflection"
"idonotlikeart","IPIP","Q3307","AB5C","Do not like art","I do not like art.",1,1,1,"hard","openness","train","openness","imagination"
"idonotlikeconcerts","IPIP","Q3308","AB5C","Do not like concerts","I do not like concerts.",1,1,1,"hard","openness","train","openness","reflection"
"idonotlikepoetry","IPIP","Q3309","AB5C","Do not like poetry","I do not like poetry.",1,1,1,"hard","openness","train","openness","imagination"
"idonotplanahead","IPIP","Q3310","AB5C","Do not plan ahead","I do not plan ahead.",1,1,1,"hard","conscientiousness","train","conscientiousness","conscientiousness"
"idotheoppositeofwhatisasked","IPIP","Q3311","AB5C","Do the opposite of what is asked","I do the opposite of what is asked.",1,1,1,"hard","conscientiousness","train","conscientiousness","dutifulness"
"idothingsaccordingtoaplan","IPIP","Q3312","AB5C","Do things according to a plan","I do things according to a plan.",1,1,1,"hard","conscientiousness","test","conscientiousness","conscientiousness"
"idothingsatmyownpace","IPIP","Q3313","AB5C","Do things at my own pace","I do things at my own pace.",1,1,1,"hard","openness","train","openness","introspection/private self-consciousness"
"idothingsatthelastminute","IPIP","Q3314","AB5C","Do things at the last minute","I do things at the last minute.",1,1,1,"hard","conscientiousness","train","conscientiousness","purposefulness"
"iameasilyoffended","IPIP","Q3316","AB5C","Am easily offended","I am easily offended.",1,1,1,"hard","neuroticism","train","neuroticism","toughness"
"idothingsinalogicalorder","IPIP","Q3318","AB5C","Do things in a logical order","I do things in a logical order.",1,1,1,"hard","conscientiousness","train","conscientiousness","rationality"
"idonotcallpeoplejusttotalk","IPIP","Q3319","AB5C","Don't call people just to talk","I do not call people just to talk.",1,1,1,"hard","agreeableness","train","agreeableness","tenderness"
"idonotcareaboutrules","IPIP","Q3321","AB5C","Don't care about rules","I do not care about rules.",1,1,1,"hard","conscientiousness","train","conscientiousness","morality"
