text,,agreeableness,conscientiousness,extraversion,neuroticism,openness,predicted,actual,correct
I care about people,I care about people.,0.99875194,0.000340933,0.0003115,0.000312127,0.000283307,agreeableness,agreeableness,1
I enjoy being part of a large crowd,I enjoy being part of a large crowd.,0.000201717,0.000182072,0.99885577,0.000225163,0.000535219,extraversion,extraversion,1
I dislike unpredictable people,I dislike unpredictable people.,0.000262574,0.9981511,0.000561852,0.000492582,0.000531671,conscientiousness,extraversion,0
I know how to entertain myself,I know how to entertain myself.,0.000408753,0.00025255,0.9978323,0.0003338,0.001172528,extraversion,extraversion,1
I keep my feelings to myself,I keep my feelings to myself.,0.000435025,0.000193642,0.9987015,0.000358828,0.000311276,extraversion,extraversion,1
I downplay my achievements,I downplay my achievements.,0.9929416,0.000735565,0.004588892,0.001312863,0.000421278,agreeableness,extraversion,0
I dislike crowded events,I dislike crowded events.,0.00028195,0.00027788,0.9988844,0.000262862,0.000293112,extraversion,extraversion,1
I would like to take charge,I would like to take charge.,0.000382554,0.000137281,0.9989148,0.000286131,0.000278955,extraversion,extraversion,1
I rarely care about others,I rarely care about others.,0.9988648,0.000292124,0.000289214,0.000256636,0.000297208,agreeableness,agreeableness,1
I am money grubber,I am money grubber.,0.99602824,0.000934011,0.001588283,0.0009388,0.000510751,agreeableness,agreeableness,1
I activate my sympathy gland,I activate my sympathy gland.,0.9327276,0.00139097,0.05874829,0.00545453,0.001678809,agreeableness,agreeableness,1
I listening to my brain rather than my heart,I listening to my brain rather than my heart.,0.9984005,0.000415744,0.000414613,0.000467965,0.000300957,agreeableness,agreeableness,1
I jealous over other people possessions,I jealous over other people possessions.,0.99864244,0.000383712,0.00030124,0.000362116,0.000310592,agreeableness,agreeableness,1
I deceived others,I deceived others.,0.99878967,0.000337168,0.000288542,0.0003133,0.000271306,agreeableness,agreeableness,1
I watch my words,I watch my words.,0.000173139,0.9978799,0.00040759,0.000957065,0.000582407,conscientiousness,agreeableness,0
I learn from my experiences,I learn from my experiences.,0.000291962,0.99261063,0.001376657,0.001126832,0.004594134,conscientiousness,agreeableness,0
I react instantly,I react instantly.,0.001248967,0.000386878,0.9947828,0.002536362,0.001044956,extraversion,agreeableness,0
I feel little sympathy for others,I feel little sympathy for others.,0.9987753,0.000328203,0.000303552,0.000287227,0.000305832,agreeableness,agreeableness,1
I trust people to mainly let me down,I trust people to mainly let me down.,0.997339,0.000997967,0.000550173,0.000683283,0.000429553,agreeableness,agreeableness,1
I tell people when they are frustrated,I tell people when they are frustrated.,0.9986905,0.000283196,0.000451012,0.000301271,0.000273889,agreeableness,agreeableness,1
I am someone who mainly considers others feelings when making decisions,I am someone who mainly considers others feelings when making decisions.,0.99886006,0.000297788,0.00027469,0.000302353,0.000265177,agreeableness,agreeableness,1
he is someone who is compassionate has a soft heart,he is someone who is compassionate has a soft heart.,0.9984529,0.000464959,0.000393199,0.000360918,0.000328273,agreeableness,agreeableness,1
I am someone who tends to be quarrelsome,I am someone who tends to be quarrelsome.,0.99340713,0.00114089,0.002450446,0.002470952,0.000530534,agreeableness,agreeableness,1
I try to make others smile or laugh,I try to make others smile or laugh.,0.4822917,0.001542069,0.5115847,0.001740875,0.002840511,extraversion,agreeableness,0
I change my decisions,I change my decisions.,0.009160541,0.91444296,0.012223101,0.060488466,0.003684921,conscientiousness,agreeableness,0
I am indifferent to others feelings,I am indifferent to others feelings.,0.9986905,0.000358018,0.000300836,0.000324949,0.000325564,agreeableness,agreeableness,1
I am honest and trustworthy,I am honest and trustworthy.,0.000303025,0.9983648,0.000464079,0.000392872,0.00047543,conscientiousness,agreeableness,0
an eye for detail,an eye for detail.,0.000224664,0.9981735,0.000514133,0.000450492,0.000637233,conscientiousness,conscientiousness,1
I see tasks through to the end,I see tasks through to the end.,0.000165963,0.99900866,0.000256265,0.000205142,0.000363658,conscientiousness,conscientiousness,1
I only give halfhearted efforts,I only give halfhearted efforts.,0.000152246,0.99892145,0.000261186,0.00027755,0.000387596,conscientiousness,conscientiousness,1
I get unfinished tasks done right away,I get unfinished tasks done right away.,0.000138259,0.99903864,0.000255968,0.000170331,0.000396917,conscientiousness,conscientiousness,1
I can stay focused on a task even when I am happy and excited about an upcoming event,I can stay focused on a task even when I am happy and excited about an upcoming event.,0.002776756,0.04056032,0.009299302,0.9415061,0.00585754,neuroticism,conscientiousness,0
I flawless person,I flawless person.,0.00023401,0.99859667,0.000407431,0.000376613,0.000384948,conscientiousness,conscientiousness,1
I beeline for the goal,I beeline for the goal.,0.000149083,0.99873716,0.000370135,0.000271847,0.000471767,conscientiousness,conscientiousness,1
I chores are done properly,I chores are done properly.,0.000150443,0.9989991,0.000272239,0.000216271,0.000362104,conscientiousness,conscientiousness,1
I get work done right away,I get work done right away.,0.000133272,0.99894816,0.000296191,0.000194999,0.000427419,conscientiousness,conscientiousness,1
I understand things,I understand things.,0.000870289,0.5059001,0.001823958,0.000793057,0.49061245,conscientiousness,conscientiousness,1
I source my own information,I source my own information.,0.000156924,0.000369834,0.00020223,0.000123516,0.99914783,openness,conscientiousness,0
I see my responsibilities as a serious infringement on my freedom,I see my responsibilities as a serious infringement on my freedom.,0.048617102,0.15070789,0.26567245,0.5052217,0.02978082,neuroticism,conscientiousness,0
I touch all the bases,I touch all the bases.,0.004715213,0.004272723,0.78336656,0.005772928,0.20187259,extraversion,conscientiousness,0
I get to work right away,I get to work right away.,0.000168047,0.99847245,0.000506296,0.000296794,0.000556289,conscientiousness,conscientiousness,1
I put the cart before the horse,I put the cart before the horse.,0.061613053,0.87189984,0.03588965,0.02046962,0.01012768,conscientiousness,conscientiousness,1
Children need a firm discipline,Children need a firm discipline.,0.001088842,0.97969776,0.006850711,0.006125006,0.006237736,conscientiousness,conscientiousness,1
I make careful decisions,I make careful decisions.,0.000151795,0.99886715,0.000318933,0.000258581,0.000403503,conscientiousness,conscientiousness,1
I am someone who always seems to be losing things,I am someone who always seems to be losing things.,0.000127545,0.9980417,0.000544214,0.000402772,0.000883872,conscientiousness,conscientiousness,1
I toil away at my job,I toil away at my job.,0.00013894,0.9990096,0.00025789,0.0002393,0.000354303,conscientiousness,conscientiousness,1
I am full of energy,I am full of energy.,0.000434215,0.000135219,0.9988887,0.00026171,0.000280474,extraversion,extraversion,1
I become cheerfully negative when something is going wrong,I become cheerfully negative when something is going wrong.,0.001797297,0.000400755,0.000437423,0.99649906,0.000865368,neuroticism,extraversion,0
I tend to laugh or talk a lot,I tend to laugh or talk a lot.,0.000280641,0.000151235,0.99913967,0.000216939,0.000211451,extraversion,extraversion,1
I dislike restless people,I dislike restless people.,0.000798349,0.002325885,0.9890644,0.002510192,0.00530113,extraversion,extraversion,1
I am someone who tends to stay in the background,I am someone who tends to stay in the background.,0.000347464,0.000214475,0.9988587,0.000219956,0.000359341,extraversion,extraversion,1
I like being with people,I like being with people.,0.000219503,0.00021073,0.99884284,0.000254047,0.000472738,extraversion,extraversion,1
I like to take the initiative,I like to take the initiative.,0.000341828,0.000206828,0.99887913,0.000260531,0.000311472,extraversion,extraversion,1
Belongings are kept in good condition,Belongings are kept in good condition.,0.000504069,0.9963241,0.001393229,0.000602803,0.001175572,conscientiousness,extraversion,0
I like to gatherings,I like to gatherings.,0.000406095,0.000203036,0.9985253,0.000341544,0.000524192,extraversion,extraversion,1
I am someone who contacts people often,I am someone who contacts people often.,0.000544035,0.000169849,0.9987881,0.00025759,0.000240674,extraversion,extraversion,1
I let people take charge,I let people take charge.,0.00030037,0.000201406,0.99894863,0.000258798,0.000290975,extraversion,extraversion,1
I open up easily,I open up easily.,0.000312495,0.000228551,0.99868476,0.000322241,0.000452096,extraversion,extraversion,1
I do not have a strong personality,I do not have a strong personality.,0.000251184,0.000169925,0.99909925,0.000172006,0.000307565,extraversion,extraversion,1
I like being around people,I like being around people.,0.000240255,0.000183867,0.99900776,0.000231313,0.000336803,extraversion,extraversion,1
I sit in the background,I sit in the background.,0.000263093,0.000252057,0.99824005,0.000409075,0.000835513,extraversion,extraversion,1
I stand out in a crowd,I stand out in a crowd.,0.000508503,0.00054596,0.9972723,0.000592656,0.001080247,extraversion,extraversion,1
I like to go my own way,I like to go my own way.,0.00017254,0.000543837,0.00104341,0.000156305,0.99808395,openness,openness,1
I enjoy noticing how the natural world is structured,I enjoy noticing how the natural world is structured.,0.000143918,0.000418829,0.000219754,0.000115599,0.99910206,openness,openness,1
I do not like freeways,I do not like freeways.,0.000534144,0.004102951,0.016657887,0.000513298,0.9781919,openness,openness,1
I anesthetized my life,I anesthetized my life.,0.001129879,0.000282897,0.995776,0.001874245,0.000937031,extraversion,openness,0
I seldom stop to analyze how I feel,I seldom stop to analyze how I feel.,0.000167173,0.000693108,0.000457274,0.000366874,0.99831533,openness,openness,1
I would hate living in a bubble,I would hate living in a bubble.,0.000198155,0.000712936,0.003004917,0.000358827,0.9957253,openness,openness,1
I would enjoy going to a lecture lounge,I would enjoy going to a lecture lounge.,0.000203072,0.000667223,0.001614356,0.000191927,0.99732333,openness,openness,1
I sometimes get ideas into my head,I sometimes get ideas into my head.,0.000148089,0.000383395,0.00021766,0.000170167,0.9990806,openness,openness,1
I leave my worries behind,I leave my worries behind.,0.001259934,0.00158592,0.025761215,0.9680701,0.003322484,neuroticism,openness,0
I have intense thoughts,I have intense thoughts.,0.000122746,0.000262483,0.000234165,0.000144925,0.999236,openness,openness,1
I want to understand the reasons why,I want to understand the reasons why.,0.000179437,0.000302431,0.000252505,0.000150716,0.99911493,openness,openness,1
I rarely used my brain,I rarely used my brain.,0.000172415,0.000419509,0.000206161,0.000167681,0.99903435,openness,openness,1
I enjoy speculating about things,I enjoy speculating about things.,0.000138367,0.000328769,0.000202242,0.000132873,0.99919784,openness,openness,1
I learned by a refining fire,I learned by a refining fire.,0.002544233,0.015629672,0.94492394,0.003691865,0.033210248,extraversion,openness,0
I try to broaden my view of things,I try to broaden my view of things.,0.000147457,0.000331901,0.000196887,0.000130178,0.99919355,openness,openness,1
I get excited by many different things,I get excited by many different things.,0.010557387,0.000464395,0.98329204,0.001418735,0.004267555,extraversion,openness,0
I seldom visit museums,I seldom visit museums.,0.000139564,0.000420257,0.000214793,0.000132264,0.99909294,openness,openness,1
I am somebody who is moody has up and down mood swings,I am somebody who is moody has up and down mood swings.,0.000859567,0.000344312,0.000428096,0.9972719,0.00109637,neuroticism,neuroticism,1
by nature anxiety ridden,by nature anxiety ridden.,0.000812673,0.000525207,0.000525399,0.9970171,0.001119475,neuroticism,neuroticism,1
I stand in the face of danger,I stand in the face of danger.,0.006231481,0.003519669,0.56768256,0.41319355,0.00937272,extraversion,neuroticism,0
I am able to perform daily tasks,I am able to perform daily tasks.,0.000358353,0.9935536,0.002258434,0.00201621,0.001813162,conscientiousness,neuroticism,0
I frightened easily,I frightened easily.,0.00105142,0.000463408,0.000383519,0.99724716,0.000854335,neuroticism,neuroticism,1
I am able to cope with stress,I am able to cope with stress.,0.000776783,0.000568241,0.000403464,0.99731517,0.000936234,neuroticism,neuroticism,1
I am easily agitated,I am easily agitated.,0.001532762,0.000588508,0.000405628,0.9962567,0.001216577,neuroticism,neuroticism,1
I am generally unfixed,I am generally unfixed.,0.000551405,0.9969295,0.001135894,0.000448502,0.000934757,conscientiousness,neuroticism,0
I am worried a lot,I am worried a lot.,0.000771693,0.000504659,0.000413591,0.9971963,0.00111357,neuroticism,neuroticism,1
I am not easily offended,I am not easily offended.,0.001712551,0.000545214,0.00037292,0.9960738,0.001295278,neuroticism,neuroticism,1
I calm myself down quickly,I calm myself down quickly.,0.002204087,0.001599907,0.29116005,0.69968534,0.005350606,neuroticism,neuroticism,1
I am not worried by difficult social situations,I am not worried by difficult social situations.,0.000523715,0.000367488,0.000619253,0.9972562,0.001233141,neuroticism,neuroticism,1
I center my life on problems,I center my life on problems.,0.002921663,0.000628195,0.00086323,0.99482685,0.000759989,neuroticism,neuroticism,1
I get too upset by minor setbacks,I get too upset by minor setbacks.,0.000816361,0.000407465,0.00037847,0.9973742,0.001023529,neuroticism,neuroticism,1
I brainwash people,I brainwash people.,0.9074472,0.001403542,0.08549687,0.00437001,0.00128227,agreeableness,neuroticism,0
I am quickly annoyed,I am quickly annoyed.,0.003183635,0.000970972,0.00065473,0.9943668,0.000824134,neuroticism,neuroticism,1
I contracts with the devil,I contracts with the devil.,0.60163224,0.004043785,0.38250592,0.00766147,0.004156484,agreeableness,neuroticism,0
I am someone who confidently assumes the best about future outcomes,I am someone who confidently assumes the best about future outcomes.,0.9977961,0.0004424,0.00069828,0.00076835,0.000295012,agreeableness,neuroticism,0
I spend a lot of time working,I spend a lot of time working.,0.00032441,0.99582446,0.002114933,0.00040257,0.00133364,conscientiousness,neuroticism,0
I am not afraid of mistakes,I am not afraid of mistakes.,0.000150605,0.998452,0.000365931,0.000416649,0.000614765,conscientiousness,neuroticism,0
I rarely get mad,I rarely get mad.,0.000932632,0.000590006,0.000386297,0.9971692,0.000921867,neuroticism,neuroticism,1
I love the thrill of battle,I love the thrill of battle.,0.000566462,0.000597205,0.9753586,0.001288591,0.022189151,extraversion,neuroticism,0
I feel complete confidence in my friends,I feel complete confidence in my friends.,0.16672489,0.003436385,0.14347081,0.6821731,0.004194869,neuroticism,neuroticism,1
I become agitated easily,I become agitated easily.,0.001098723,0.000489146,0.000396185,0.9969491,0.00106678,neuroticism,neuroticism,1
I have frequent mood changes,I have frequent mood changes.,0.000725114,0.000423013,0.000440931,0.99711883,0.001291925,neuroticism,neuroticism,1
I several times have gotten very upset,I several times have gotten very upset.,0.000809525,0.000456166,0.000410135,0.9974503,0.000874011,neuroticism,neuroticism,1
I am sometimes down in the dumps,I am sometimes down in the dumps.,0.000652865,0.000458624,0.000519929,0.9973446,0.001023811,neuroticism,neuroticism,1
I upset by events,I upset by events.,0.000851739,0.000607117,0.000528628,0.99715686,0.000855694,neuroticism,neuroticism,1
I feel uncomfortable even with friends,I feel uncomfortable even with friends.,0.000520994,0.000419103,0.000572314,0.9975673,0.000920459,neuroticism,neuroticism,1
I am disturbed by difficult social situations,I am disturbed by difficult social situations.,0.000476823,0.000347969,0.0007808,0.99715966,0.001234594,neuroticism,neuroticism,1
I start crying when hearing of a happy event,I start crying when hearing of a happy event.,0.01966493,0.001103495,0.004299298,0.97326607,0.001666047,neuroticism,neuroticism,1
I am weary of life,I am weary of life.,0.002309052,0.001945513,0.05533723,0.9034737,0.036934678,neuroticism,neuroticism,1
I often lose my way,I often lose my way.,0.003110425,0.14042106,0.012179983,0.82382697,0.020461544,neuroticism,neuroticism,1
I get nervous easily,I get nervous easily.,0.001105014,0.000464025,0.000389376,0.9969173,0.001124636,neuroticism,neuroticism,1
I when get angry feel very scared,I when get angry feel very scared.,0.00127157,0.000390377,0.000512171,0.9969795,0.000846527,neuroticism,neuroticism,1
I own a home,I own a home.,0.00154749,0.001728093,0.96326244,0.026655154,0.006806928,extraversion,neuroticism,0
I am a worrywart,I am a worrywart.,0.000775356,0.00054414,0.000392962,0.9971122,0.001175241,neuroticism,neuroticism,1
I am easily affected by my emotions,I am easily affected by my emotions.,0.001048307,0.000526238,0.000470055,0.9960572,0.00189838,neuroticism,neuroticism,1
I break down under pressure,I break down under pressure.,0.000666333,0.000646838,0.000456558,0.9974651,0.000765155,neuroticism,neuroticism,1
I am rarely bothered by the apparent suffering of strangers,I am rarely bothered by the apparent suffering of strangers.,0.000897885,0.000683283,0.00064461,0.9968103,0.000963714,neuroticism,neuroticism,1
I rarely feel emotions other than happiness,I rarely feel emotions other than happiness.,0.006348853,0.001054154,0.8841714,0.10015151,0.00827406,extraversion,neuroticism,0
I feel relaxed most of the time,I feel relaxed most of the time.,0.001441429,0.00057298,0.000959714,0.99622434,0.000801344,neuroticism,neuroticism,1
I cannot handle complex problems,I cannot handle complex problems.,0.000654991,0.000868825,0.000752597,0.995956,0.00176735,neuroticism,neuroticism,1
I am someone who rarely feels weepy while reading the sad part of a story,I am someone who rarely feels weepy while reading the sad part of a story.,0.00082125,0.000419441,0.000656328,0.996729,0.001374093,neuroticism,neuroticism,1
I am someone who mainly feels sad,I am someone who mainly feels sad.,0.00092765,0.000341347,0.000478669,0.9971835,0.001068617,neuroticism,neuroticism,1
I am easily controlled by others,I am easily controlled by others.,0.5684249,0.005175612,0.06198215,0.36036095,0.004056364,agreeableness,neuroticism,0
I keep my size,I keep my size.,0.012068509,0.38911653,0.11770685,0.46393156,0.017176546,neuroticism,neuroticism,1
I have bad moods,I have bad moods.,0.000907345,0.000440397,0.000455276,0.99699,0.001207016,neuroticism,neuroticism,1
I nearly always look on the bright side,I nearly always look on the bright side.,0.001659286,0.000359559,0.9964971,0.001087487,0.000396601,extraversion,neuroticism,0
I am one of the most resentful people I know,I am one of the most resentful people I know.,0.9660498,0.001640715,0.011013787,0.018936232,0.002359411,agreeableness,neuroticism,0
I would be dangerous if I owned a gun,I would be dangerous if I owned a gun.,0.027150676,0.002222335,0.01879627,0.9489645,0.002866332,neuroticism,neuroticism,1
I am rarely bothered by events,I am rarely bothered by events.,0.004157107,0.30910707,0.00639096,0.6707089,0.009635886,neuroticism,neuroticism,1
I am able to deal with complex problems,I am able to deal with complex problems.,0.000754097,0.000563679,0.000465939,0.9974503,0.000765908,neuroticism,neuroticism,1
I rarely feel blue,I rarely feel blue.,0.000766702,0.000512357,0.000426968,0.9971735,0.001120647,neuroticism,neuroticism,1
I howl at the slightest provocation,I howl at the slightest provocation.,0.2058271,0.017943757,0.11395705,0.6531978,0.009074277,neuroticism,neuroticism,1
I seek to improve myself,I seek to improve myself.,0.000222612,0.001883038,0.000516829,0.000208401,0.9971692,openness,conscientiousness,0
I hassles comes up with good solutions,I hassles comes up with good solutions.,0.00073968,0.99310166,0.002699625,0.001092054,0.0023672,conscientiousness,conscientiousness,1
I feel weariness,I feel weariness.,0.000777255,0.001068064,0.9812345,0.014054751,0.002865463,extraversion,conscientiousness,0
Likes things just right,Likes things just right.,0.000346282,0.9942066,0.001072026,0.002377211,0.001997842,conscientiousness,conscientiousness,1
I show my eagerness,I show my eagerness.,0.000469284,0.000234647,0.99868196,0.0003209,0.000293332,extraversion,conscientiousness,0
I slowly work my way through life,I slowly work my way through life.,0.00023864,0.001002024,0.001669357,0.000162649,0.9969273,openness,conscientiousness,0
Unexpected events annoy me,Unexpected events annoy me.,0.009026432,0.2583678,0.05542033,0.65664744,0.020537874,neuroticism,conscientiousness,0
I misunderstand sometimes,I misunderstand sometimes.,0.000238248,0.99820346,0.000513896,0.000354741,0.000689501,conscientiousness,conscientiousness,1
I mind my own business,I mind my own business.,0.004116688,0.003233685,0.9763809,0.013734679,0.002534106,extraversion,conscientiousness,0
I want everything to fall into place,I want everything to fall into place.,0.000152288,0.998782,0.000373726,0.000319771,0.00037245,conscientiousness,conscientiousness,1
I end up doing more work than I had originally planned,I end up doing more work than I had originally planned.,0.000153169,0.9989262,0.000271411,0.000176705,0.000472552,conscientiousness,conscientiousness,1
I want perfection in my work,I want perfection in my work.,0.000131258,0.9990659,0.000241832,0.000193988,0.000366821,conscientiousness,conscientiousness,1
I take hold of things,I take hold of things.,0.000789856,0.000886137,0.99626666,0.00117289,0.000884488,extraversion,conscientiousness,0
I have disregard for rules,I have disregard for rules.,0.000165314,0.99874383,0.000301285,0.000367095,0.00042261,conscientiousness,conscientiousness,1
I chores get done right away,I chores get done right away.,0.000133801,0.9990611,0.000267469,0.000171408,0.00036625,conscientiousness,conscientiousness,1
I do illogical things,I do illogical things.,0.000150673,0.99877286,0.000346894,0.000270156,0.000459197,conscientiousness,conscientiousness,1
Skilled workmanship,Skilled workmanship.,0.001342363,0.98200303,0.005704742,0.005555343,0.005394312,conscientiousness,conscientiousness,1
I am someone who is considered sticks to the rules,I am someone who is considered sticks to the rules.,0.000117771,0.99901295,0.000245612,0.000232025,0.000391565,conscientiousness,conscientiousness,1
I keep things neat and tidy,I keep things neat and tidy.,0.000182219,0.9988328,0.000339537,0.000225576,0.000419903,conscientiousness,conscientiousness,1
I see imperfections in others work,I see imperfections in others work.,0.000152427,0.9990329,0.000247453,0.000212992,0.000353892,conscientiousness,conscientiousness,1
I immediately see the consequences of things,I immediately see the consequences of things.,0.000152501,0.99778146,0.000434953,0.000376602,0.001254758,conscientiousness,conscientiousness,1
I down-rank people who behave poorly,I down-rank people who behave poorly.,0.37849212,0.078809,0.50356776,0.025319368,0.013811729,extraversion,conscientiousness,0
on time,on time.,0.001437708,0.98636,0.004346702,0.005133175,0.002722431,conscientiousness,conscientiousness,1
Chores are completed properly,Chores are completed properly.,0.000238091,0.99848,0.000393863,0.000424967,0.000463153,conscientiousness,conscientiousness,1
Tasks get done right away,Tasks get done right away.,0.000181422,0.9988719,0.000331457,0.000206072,0.000408915,conscientiousness,conscientiousness,1
I am open to changes,I am open to changes.,0.000166563,0.000246473,0.000269355,0.00013673,0.9991806,openness,conscientiousness,0
I detach from reality,I detach from reality.,0.003798224,0.036036827,0.061846174,0.86097777,0.037341032,neuroticism,conscientiousness,0
I follow through on what I say,I follow through on what I say.,0.000138291,0.9990472,0.000234685,0.000206437,0.000373132,conscientiousness,conscientiousness,1
